parcel_number,address,status_long,latitude,longitude,status_short
022 030500100,2232 IVY DR,Ask for exemption - did not review ,37.80075527,-122.2450172,Exempt
027 085401703,2858 BROOKDALE AVE,Incomplete Evaluation,37.79334076,-122.2173289,Incomplete Evaluation
022 030901400,323 HANOVER AVE,Incomplete Evaluation,37.80307889,-122.251108,Incomplete Evaluation
010 077102000,246 GRAND AVE,Level 2 - Missing slope,37.8099208,-122.2589683,Incomplete Evaluation
039 330305500,6862 ARTHUR ST,Exempt - less than 5 units,37.7659858,-122.182236,Exempt
010 080000901,101 FAIRMOUNT AVE,Exempt - retrofitted,37.81615863,-122.2607645,Exempt
011 084001700,832 YORK ST,Done - Level 2 in process,37.81304265,-122.2431099,Level 2
022 033601900,2422 8TH AVE,Done - Level 1,37.80024729,-122.2412792,Level 1
020 012900803,1417 1ST AVE,Exempt - engineer's letter,37.79903747,-122.2571966,Exempt
010 079102401,388 ORANGE ST,Incomplete Evaluation,37.81655129,-122.2550934,Incomplete Evaluation
005 040802000,1000 18TH ST,Incomplete Evaluation - Unclaimed,37.81184056,-122.2821165,Incomplete Evaluation
023 043301700,693 MACARTHUR BLVD,Done - Level 2 Required  ,37.8078626,-122.2427707,Level 2
008 062900100,1570 JACKSON ST,Exempt - engineer's letter,37.80432252,-122.2633373,Exempt
040 340700500,7981 MACARTHUR BLVD,Incomplete Evaluation,37.76386513,-122.1664298,Incomplete Evaluation
010 077900400,411 EUCLID AVE,Incomplete Evaluation - Unclaimed,37.81027501,-122.2517895,Incomplete Evaluation
021 022709300,322 HANOVER AVE,Incomplete Evaluation - Unclaimed,37.8023125,-122.2514437,Incomplete Evaluation
010 080900700,3309 HARRISON ST,Incomplete Evaluation - Unclaimed,37.81859594,-122.2557245,Incomplete Evaluation
023 042700400,635 MACARTHUR BLVD,Done - Level 1,37.80831942,-122.2440687,Level 1
030 193501004,3771 HIGH ST,Done - Level 1,37.789138,-122.191485,Level 1
020 018700101,605 E 17TH ST,Incomplete Evaluation,37.79662436,-122.2501354,Incomplete Evaluation
010 077700500,421 STATEN AVE,Done - Level 1,37.80987604,-122.2539789,Level 1
005 038201603,1430 FILBERT ST,Incomplete Evaluation,37.80931098,-122.2824358,Incomplete Evaluation
023 040400101,1021 MCKINLEY AVE,Incomplete Evaluation,37.8045425,-122.2382495,Incomplete Evaluation
021 022501201,1824 LAKESHORE AVE,Done - Level 1,37.8011392,-122.2539147,Level 1
009 071302000,870 31ST ST,Incomplete Evaluation,37.82159414,-122.2752113,Incomplete Evaluation
022 036702804,1907 E 30TH ST,Done - Level 2 Required  ,37.79782341,-122.229457,Level 2
010 079004000,438 VERNON ST,Exempt - retrofitted,37.81664042,-122.2531161,Exempt
038 320000502,2649 62ND AVE,Done - Level 1,37.77082577,-122.1873636,Level 1
012 099401700,174 41ST ST,Done - Level 1,37.82696376,-122.2528614,Level 1
022 034203600,2710 9TH AVE,Done - Level 1,37.80095939,-122.2385284,Level 1
005 038100400,1005 16TH STREET,Incomplete Evaluation,37.81021146,-122.2827032,Incomplete Evaluation
015 135303000,5915 M L KING JR WAY,Incomplete Evaluation,37.84455684,-122.271033,Incomplete Evaluation
