BLOCK,LOT,PROPERTY,SUBJECT TO THE PROGRAM Y/N,TIER,STATUS,BOS DISTRICT
144,11,438 BROADWAY ,Y,1,Non-Compliant,3
597,22,1535 JACKSON ST,Y,1,Non-Compliant,3
929,9,2300 CHESTNUT ST,Y,1,Non-Compliant,2
3777,1,500 04TH ST,Y,1,Non-Compliant,6
853,19,111 PAGE ST,Y,1,"Work Complete, CFC Issued",5
1872,11,1595 26TH AV,Y,1,"Work Complete, CFC Issued",4
2831,16,4166 24TH ST,Y,1,"Work Complete, CFC Issued",8
88,6,1601 GRANT AV,Y,2,Non-Compliant,3
115,19,1400 GRANT AV,Y,2,Non-Compliant,3
149,21,1644 TAYLOR ST,Y,2,Non-Compliant,3
152,15,1260 BROADWAY ,Y,2,Non-Compliant,3
184,8,1501 LEAVENWORTH ST,Y,2,Non-Compliant,3
187,7,1400 WASHINGTON ST,Y,2,Non-Compliant,3
212,6,1025 POWELL ST,Y,2,Non-Compliant,3
216,2,1327 LEAVENWORTH ST,Y,2,Non-Compliant,3
220,10,1348 SACRAMENTO ST,Y,2,Non-Compliant,3
248,13,1120 HYDE ST,Y,2,Non-Compliant,3
250,8,1372 PINE ST,Y,2,Non-Compliant,3
250,6,1350 PINE ST,Y,2,Non-Compliant,3
251,1,1059 LEAVENWORTH ST,Y,2,Non-Compliant,3
252,16,1040 LEAVENWORTH ST,Y,2,Non-Compliant,3
256,10,750 PINE ST,Y,2,Non-Compliant,3
274,18,977 PINE ST,Y,2,Non-Compliant,3
274,20,961 PINE ST,Y,2,Non-Compliant,3
276,26,1163 PINE ST,Y,2,Non-Compliant,3
276,29,1111 PINE ST,Y,2,Non-Compliant,3
0467A,14,3515 FILLMORE ST,Y,2,Non-Compliant,2
490,3,2230 LOMBARD ST,Y,2,Non-Compliant,2
495,001C,1631 CHESTNUT ST,Y,2,Non-Compliant,2
498,022C,2942 FRANKLIN ST,Y,2,Non-Compliant,2
499,9,2850 VAN NESS AV,Y,2,Non-Compliant,2
514,015B,2370 FILBERT ST,Y,2,Non-Compliant,2
522,11,2774 FRANKLIN ST,Y,2,Non-Compliant,2
551,16,1599 GREEN ST,Y,2,Non-Compliant,2
