,image,xmin,ymin,xmax,ymax,label,code,image_path
1,cmp_b0001.jpg,127.00227,106.99776,159.00126,143.99488,window,0,/home/ubuntu/EQanalytics/Data/CMP_Facade_DB/base/cmp_b0001.jpg
2,cmp_b0001.jpg,170.00244,109.99808,202.00143,146.00192,window,0,/home/ubuntu/EQanalytics/Data/CMP_Facade_DB/base/cmp_b0001.jpg
3,cmp_b0001.jpg,238.00233,109.99808,266.99853,147.99872,window,0,/home/ubuntu/EQanalytics/Data/CMP_Facade_DB/base/cmp_b0001.jpg
4,cmp_b0001.jpg,279.99795,109.99808,309.9987,147.99872,window,0,/home/ubuntu/EQanalytics/Data/CMP_Facade_DB/base/cmp_b0001.jpg
5,cmp_b0001.jpg,345.9996,112.9984,375.00122999999996,152.00256,window,0,/home/ubuntu/EQanalytics/Data/CMP_Facade_DB/base/cmp_b0001.jpg
6,cmp_b0001.jpg,386.00241,114.00192,415.99773,152.99584,window,0,/home/ubuntu/EQanalytics/Data/CMP_Facade_DB/base/cmp_b0001.jpg
7,cmp_b0001.jpg,128.00139,182.99904,159.00126,219.00288,window,0,/home/ubuntu/EQanalytics/Data/CMP_Facade_DB/base/cmp_b0001.jpg
8,cmp_b0001.jpg,170.00244,185.99936,199.99776,222.0032,window,0,/home/ubuntu/EQanalytics/Data/CMP_Facade_DB/base/cmp_b0001.jpg
9,cmp_b0001.jpg,235.99866,184.99584,266.99853,220.99968,window,0,/home/ubuntu/EQanalytics/Data/CMP_Facade_DB/base/cmp_b0001.jpg
10,cmp_b0001.jpg,279.99795,187.00288,309.9987,222.99648,window,0,/home/ubuntu/EQanalytics/Data/CMP_Facade_DB/base/cmp_b0001.jpg
11,cmp_b0001.jpg,345.9996,188.99968,376.00035,224.0,window,0,/home/ubuntu/EQanalytics/Data/CMP_Facade_DB/base/cmp_b0001.jpg
12,cmp_b0001.jpg,388.00065,188.99968,418.00140000000005,225.00352,window,0,/home/ubuntu/EQanalytics/Data/CMP_Facade_DB/base/cmp_b0001.jpg
13,cmp_b0001.jpg,386.00241,263.99744,417.00228,300.00128,window,0,/home/ubuntu/EQanalytics/Data/CMP_Facade_DB/base/cmp_b0001.jpg
14,cmp_b0001.jpg,346.99872000000005,263.00416,377.99859000000004,298.99776,window,0,/home/ubuntu/EQanalytics/Data/CMP_Facade_DB/base/cmp_b0001.jpg
15,cmp_b0001.jpg,278.99883,263.99744,309.9987,300.00128,window,0,/home/ubuntu/EQanalytics/Data/CMP_Facade_DB/base/cmp_b0001.jpg
16,cmp_b0001.jpg,236.99778,262.00064,266.99853,298.00448,window,0,/home/ubuntu/EQanalytics/Data/CMP_Facade_DB/base/cmp_b0001.jpg
