image,xmin,ymin,xmax,ymax,label,confidence
"/home/ubuntu/logohunter/data/test/houses/view_vulnerable_1560451684_+37.806954_-122.224027_10_4135+PARK+BL+OAKLAND+Incomplete-Evaluation.jpg
",169,185,457,431,0,0.597814679145813
"/home/ubuntu/logohunter/data/test/houses/view_vulnerable_1560452321_+37.817961_-122.253856_10_447+ORANGE+ST+OAKLAND+Incomplete-Evaluation---Unclaimed.jpg
",2,139,640,463,0,0.872853696346283
"/home/ubuntu/logohunter/data/test/houses/view_vulnerable_1560452467_+37.815559_-122.252535_10_255+MACARTHUR+BL+OAKLAND+Done---Level-2-Required.jpg
",0,211,219,417,0,0.39556023478507996
"/home/ubuntu/logohunter/data/test/houses/view_vulnerable_1560452467_+37.815559_-122.252535_10_255+MACARTHUR+BL+OAKLAND+Done---Level-2-Required.jpg
",230,159,628,450,0,0.50175940990448
"/home/ubuntu/logohunter/data/test/houses/view_vulnerable_1560451751_+37.840571_-122.257489_10_5311+MILES+AV+OAKLAND+Incomplete-Evaluation.jpg
",414,309,625,440,0,0.1422976702451706
"/home/ubuntu/logohunter/data/test/houses/view_vulnerable_1560451751_+37.840571_-122.257489_10_5311+MILES+AV+OAKLAND+Incomplete-Evaluation.jpg
",200,294,417,464,0,0.46601545810699463
"/home/ubuntu/logohunter/data/test/houses/view_vulnerable_1560451557_+37.811859_-122.259963_10_137+MONTECITO+AV+OAKLAND+Done---Level-1.jpg
",0,206,295,513,0,0.34057512879371643
"/home/ubuntu/logohunter/data/test/houses/view_vulnerable_1560451557_+37.811859_-122.259963_10_137+MONTECITO+AV+OAKLAND+Done---Level-1.jpg
",308,97,565,460,0,0.6544316411018372
"/home/ubuntu/logohunter/data/test/houses/view_vulnerable_1560451519_+37.828806_-122.255509_10_4118+BROADWAY+OAKLAND+Done---Level-1.jpg
",7,236,269,435,0,0.6460955739021301
"/home/ubuntu/logohunter/data/test/houses/view_vulnerable_1560451519_+37.828806_-122.255509_10_4118+BROADWAY+OAKLAND+Done---Level-1.jpg
",264,104,528,457,0,0.7164669632911682
"/home/ubuntu/logohunter/data/test/houses/view_vulnerable_1560451622_+37.812485_-122.245535_10_743+WARFIELD+AV+OAKLAND+Incomplete-Evaluation.jpg
",176,8,558,457,0,0.9756422638893127
"/home/ubuntu/logohunter/data/test/houses/view_vulnerable_1560451310_+37.795056_-122.233583_10_1856+E+25TH+ST+OAKLAND+Done---Level-1.jpg
",1,193,140,414,0,0.14208702743053436
"/home/ubuntu/logohunter/data/test/houses/view_vulnerable_1560451310_+37.795056_-122.233583_10_1856+E+25TH+ST+OAKLAND+Done---Level-1.jpg
",253,80,620,453,0,0.5956289172172546
"/home/ubuntu/logohunter/data/test/houses/view_vulnerable_1560451309_+37.850406_-122.261100_10_6408+IRWIN+CT+OAKLAND+Done---Level-1.jpg
",0,136,640,461,0,0.8454939723014832
"/home/ubuntu/logohunter/data/test/houses/view_vulnerable_1560452968_+37.812485_-122.245535_10_743+WARFIELD+AV+OAKLAND+Incomplete-Evaluation.jpg
",176,8,558,457,0,0.9756422638893127
