image,full_path,category,tier,class
view_vulnerable_1562290816_10_1_111+PAGE+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,C:\Users\Anton\OneDrive\GitHub\eqanalytics\Data\Street_View_Images/vulnerable/Work-Complete-CFC-Issued\view_vulnerable_1562290816_10_1_111+PAGE+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,Work-Complete-CFC-Issued,1,vulnerable
view_vulnerable_1562290816_10_1_1595+26TH+AV+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,C:\Users\Anton\OneDrive\GitHub\eqanalytics\Data\Street_View_Images/vulnerable/Work-Complete-CFC-Issued\view_vulnerable_1562290816_10_1_1595+26TH+AV+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,Work-Complete-CFC-Issued,1,vulnerable
view_vulnerable_1562290816_10_1_4166+24TH+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,C:\Users\Anton\OneDrive\GitHub\eqanalytics\Data\Street_View_Images/vulnerable/Work-Complete-CFC-Issued\view_vulnerable_1562290816_10_1_4166+24TH+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,Work-Complete-CFC-Issued,1,vulnerable
view_vulnerable_1562290816_10_2_700+LOMBARD+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,C:\Users\Anton\OneDrive\GitHub\eqanalytics\Data\Street_View_Images/vulnerable/Work-Complete-CFC-Issued\view_vulnerable_1562290816_10_2_700+LOMBARD+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,Work-Complete-CFC-Issued,2,vulnerable
view_vulnerable_1562290816_10_2_1000+UNION+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,C:\Users\Anton\OneDrive\GitHub\eqanalytics\Data\Street_View_Images/vulnerable/Work-Complete-CFC-Issued\view_vulnerable_1562290816_10_2_1000+UNION+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,Work-Complete-CFC-Issued,2,vulnerable
view_vulnerable_1562290816_10_2_1048+UNION+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,C:\Users\Anton\OneDrive\GitHub\eqanalytics\Data\Street_View_Images/vulnerable/Work-Complete-CFC-Issued\view_vulnerable_1562290816_10_2_1048+UNION+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,Work-Complete-CFC-Issued,2,vulnerable
view_vulnerable_1562290816_10_2_290+GREEN+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,C:\Users\Anton\OneDrive\GitHub\eqanalytics\Data\Street_View_Images/vulnerable/Work-Complete-CFC-Issued\view_vulnerable_1562290816_10_2_290+GREEN+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,Work-Complete-CFC-Issued,2,vulnerable
view_vulnerable_1562290816_10_2_1955+LEAVENWORTH+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,C:\Users\Anton\OneDrive\GitHub\eqanalytics\Data\Street_View_Images/vulnerable/Work-Complete-CFC-Issued\view_vulnerable_1562290816_10_2_1955+LEAVENWORTH+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,Work-Complete-CFC-Issued,2,vulnerable
view_vulnerable_1562290816_10_2_1925+LEAVENWORTH+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,C:\Users\Anton\OneDrive\GitHub\eqanalytics\Data\Street_View_Images/vulnerable/Work-Complete-CFC-Issued\view_vulnerable_1562290816_10_2_1925+LEAVENWORTH+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,Work-Complete-CFC-Issued,2,vulnerable
view_vulnerable_1562290816_10_2_2120+LARKIN+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,C:\Users\Anton\OneDrive\GitHub\eqanalytics\Data\Street_View_Images/vulnerable/Work-Complete-CFC-Issued\view_vulnerable_1562290816_10_2_2120+LARKIN+ST+SAN+FRANCISCO+Work-Complete-CFC-Issued.jpg,Work-Complete-CFC-Issued,2,vulnerable
